Anio	Mes	TSM 
1982	1	18.93
1982	2	18.50
1982	3	17.72
1982	4	16.61
1982	5	14.54
1982	6	13.10
1982	7	11.40
1982	8	10.84
1982	9	10.71
1982	10	11.74
1982	11	13.72
1982	12	16.92
1983	1	19.46
1983	2	18.66
1983	3	17.52
1983	4	15.95
1983	5	14.07
1983	6	12.02
1983	7	10.80
1983	8	10.69
1983	9	10.54
1983	10	12.29
1983	11	15.19
1983	12	17.79
1984	1	19.32
1984	2	18.41
1984	3	17.82
1984	4	15.97
1984	5	13.84
1984	6	11.70
1984	7	10.40
1984	8	10.22
1984	9	10.41
1984	10	12.64
1984	11	14.99
1984	12	16.35
1985	1	18.07
1985	2	18.83
1985	3	17.73
1985	4	15.62
1985	5	13.98
1985	6	12.41
1985	7	11.73
1985	8	10.99
1985	9	11.61
1985	10	12.06
1985	11	14.70
1985	12	17.20
1986	1	18.95
1986	2	19.12
1986	3	17.57
1986	5	15.72
1986	6	14.52
1986	7	12.62
1986	8	10.98
1986	9	10.47
1986	10	10.90
1986	11	11.90
1986	12	14.02
1987	1	16.05
1987	2	17.88
1987	3	19.26
1987	4	18.18
1987	5	16.66
1987	6	14.61
1987	7	12.88
1987	8	11.59
1987	9	11.56
1987	10	11.43
1987	11	12.44
1987	12	13.90
1988	1	16.34
1988	2	17.84
1988	3	18.17
1988	4	18.23
1988	5	16.42
1988	6	14.31
1988	7	12.48
1988	8	11.04
1988	9	10.08
1988	10	10.81
1988	11	11.42
1988	12	13.88
1989	1	16.38
1989	2	17.90
1989	3	18.34
1989	4	18.08
1989	5	15.94
1989	6	14.22
1989	7	12.83
1989	8	11.62
1989	9	11.25
1989	10	10.95
1989	11	12.49
1989	12	15.15
1990	1	17.33
1990	2	18.91
1990	3	19.14
1990	4	18.59
1990	5	16.36
1990	6	14.56
1990	7	12.21
1990	8	11.49
1990	9	11.08
1990	10	10.71
1990	11	12.44
1990	12	14.38
1991	1	16.58
1991	3	18.58
1991	4	18.90
1991	5	18.42
1991	6	17.15
1991	7	15.77
1991	8	13.30
1991	9	12.35
1991	10	11.50
1991	11	11.54
1991	12	12.07
1992	1	14.25
1992	2	16.67
1992	3	18.21
1992	4	19.04
1992	5	18.80
1992	6	16.22
1992	7	13.86
1992	8	12.15
1992	9	10.71
1992	10	10.14
1992	11	10.37
1992	12	12.19
1993	1	13.15
1993	2	15.89
1993	3	18.04
1993	4	18.50
1993	5	18.08
1993	6	16.05
1993	7	13.91
1993	8	12.02
1993	9	10.86
1993	10	10.46
1993	11	10.77
1993	12	12.27
1994	1	14.80
1994	2	16.55
1994	3	18.54
1994	4	18.24
1994	5	18.62
1994	6	16.52
1994	7	14.88
1994	8	13.11
1994	9	11.88
1994	10	10.75
1994	11	10.97
1994	12	11.72
